pop2023,city,country,growthRate,type,rank
1215376,Jinzhou,China,0.0196,w,468
1214775,Chandigarh,India,0.0197,w,469
1213778,Tasikmalaya,Indonesia,0.042,w,470
1213348,Chiang Mai,Thailand,0.0129,w,471
1207275,Pizhou,China,0.0383,w,472
1206767,Bujumbura,Burundi,0.0593,w,473
1200222,Binzhou,China,0.0313,w,474
1197935,Luohe,China,0.0423,w,475
1196841,Guilin,China,0.0181,w,476
1190348,Quetta,Pakistan,0.0265,w,477
1188803,Aba,Nigeria,0.0336,w,478
1187398,Kaduna,Nigeria,0.0253,w,479
1183292,Tripoli,Libya,0.0063,w,480
1183042,Xiongan,China,0.0585,w,481
1181194,Hubli-Dharwad,India,0.0197,w,482
1180745,Omsk,Russia,-0.0003,w,483
1178477,Mexicali,Mexico,0.0163,w,484
1176330,Guwahati,India,0.0186,w,485
1175989,Bazhong,China,0.0504,w,486
1174429,Haifa,Israel,0.009,w,487
1174025,Amsterdam,Netherlands,0.007,w,488
1171689,Saharanpur,India,0.0333,w,489
1169953,Salem,India,0.0206,w,490
1169864,Yueqing,China,0.0302,w,491
1166792,Krasnoyarsk,Russia,0.0069,w,492
1162793,Maputo,Mozambique,0.0209,w,493
1162242,Bandar Lampung,Indonesia,0.021,w,494
1161448,Aguascalientes,Mexico,0.0159,w,495
1155732,Samara,Russia,-0.0016,w,496
1155073,Shimkent,Kazakhstan,0.026,w,497
1144799,Ufa,Russia,0.0021,w,498
1143715,Cologne,Germany,0.0059,w,499
